mask,faults,accepted,expected,agrees,code
475,source_digest;theme_version;domain;period;rationale_id;relation;operation,0,0,1,SOURCE_CHANGED
476,principal;domain;period;rationale_id;relation;operation,0,0,1,UNAUTHORIZED
477,source_digest;principal;domain;period;rationale_id;relation;operation,0,0,1,SOURCE_CHANGED
478,theme_version;principal;domain;period;rationale_id;relation;operation,0,0,1,THEME_CHANGED
479,source_digest;theme_version;principal;domain;period;rationale_id;relation;operation,0,0,1,SOURCE_CHANGED
480,unit;rationale_id;relation;operation,0,0,1,SEMANTIC_MISMATCH
481,source_digest;unit;rationale_id;relation;operation,0,0,1,SOURCE_CHANGED
482,theme_version;unit;rationale_id;relation;operation,0,0,1,THEME_CHANGED
483,source_digest;theme_version;unit;rationale_id;relation;operation,0,0,1,SOURCE_CHANGED
484,principal;unit;rationale_id;relation;operation,0,0,1,UNAUTHORIZED
485,source_digest;principal;unit;rationale_id;relation;operation,0,0,1,SOURCE_CHANGED
486,theme_version;principal;unit;rationale_id;relation;operation,0,0,1,THEME_CHANGED
487,source_digest;theme_version;principal;unit;rationale_id;relation;operation,0,0,1,SOURCE_CHANGED
488,domain;unit;rationale_id;relation;operation,0,0,1,WRONG_DOMAIN
489,source_digest;domain;unit;rationale_id;relation;operation,0,0,1,SOURCE_CHANGED
490,theme_version;domain;unit;rationale_id;relation;operation,0,0,1,THEME_CHANGED
491,source_digest;theme_version;domain;unit;rationale_id;relation;operation,0,0,1,SOURCE_CHANGED
492,principal;domain;unit;rationale_id;relation;operation,0,0,1,UNAUTHORIZED
493,source_digest;principal;domain;unit;rationale_id;relation;operation,0,0,1,SOURCE_CHANGED
494,theme_version;principal;domain;unit;rationale_id;relation;operation,0,0,1,THEME_CHANGED
495,source_digest;theme_version;principal;domain;unit;rationale_id;relation;operation,0,0,1,SOURCE_CHANGED
496,period;unit;rationale_id;relation;operation,0,0,1,STALE
497,source_digest;period;unit;rationale_id;relation;operation,0,0,1,SOURCE_CHANGED
498,theme_version;period;unit;rationale_id;relation;operation,0,0,1,THEME_CHANGED
499,source_digest;theme_version;period;unit;rationale_id;relation;operation,0,0,1,SOURCE_CHANGED
500,principal;period;unit;rationale_id;relation;operation,0,0,1,UNAUTHORIZED
501,source_digest;principal;period;unit;rationale_id;relation;operation,0,0,1,SOURCE_CHANGED
502,theme_version;principal;period;unit;rationale_id;relation;operation,0,0,1,THEME_CHANGED
503,source_digest;theme_version;principal;period;unit;rationale_id;relation;operation,0,0,1,SOURCE_CHANGED
504,domain;period;unit;rationale_id;relation;operation,0,0,1,WRONG_DOMAIN
505,source_digest;domain;period;unit;rationale_id;relation;operation,0,0,1,SOURCE_CHANGED
506,theme_version;domain;period;unit;rationale_id;relation;operation,0,0,1,THEME_CHANGED
507,source_digest;theme_version;domain;period;unit;rationale_id;relation;operation,0,0,1,SOURCE_CHANGED
508,principal;domain;period;unit;rationale_id;relation;operation,0,0,1,UNAUTHORIZED
509,source_digest;principal;domain;period;unit;rationale_id;relation;operation,0,0,1,SOURCE_CHANGED
510,theme_version;principal;domain;period;unit;rationale_id;relation;operation,0,0,1,THEME_CHANGED
511,source_digest;theme_version;principal;domain;period;unit;rationale_id;relation;operation,0,0,1,SOURCE_CHANGED
512,max_bytes,0,0,1,BUDGET_EXCEEDED
